actor_id,actor
8726,Patric Knowles
59175,Blake Lively
7863,Tantoo Cardinal
14344,Stuart Wilson
59296,Daniella Alonso
235030,Lil' Fizz
47774,Vincent Pastore
1420204,Michael E. Williamson
74352,Roberta Collins
105623,Melissa Prophet
1157958,Carmi Gillon
29273,Gilbert Roland
38674,Aisha Tyler
228969,Roxanne McKee
3490,Adrien Brody
10205,Sigourney Weaver
11870,Christine Baranski
1937,Mickey Rooney
7171,John Belushi
55776,Holly Valance
31166,Henry Ian Cusick
86170,Audrey Wasilewski
4689,Bronson Pinchot
1175127,Gabriela Castillo
32905,Rachel Dratch
205267,Jareb Dauplaise
119368,Jennifer Westfeldt
4569,David Fox
13022,Tom Berenger
33321,Sam J. Jones
10697,Alan Cumming
56910,Susie Essman
475512,Ellie Kemper
30433,Neil Maskell
3291,Hugh Grant
58963,Josh Henderson
1306206,Victoria Sus
55636,Donald Sutherland
1103,Bill Duke
13936,Frankie Faison
8226,Billie Whitelaw
1284,Noah Taylor
60561,Mo'Nique
930216,Robert Amaya 
133669,D. David Morin
2219,Tobey Maguire
71885,Barlow Jacobs
33654,Breckin Meyer
84021,Paul Gross
573,Karl Bruckschwaiger
79247,Howard Da Silva
1162670,Stephanie Ellis
125459,Harry Secombe
180609,Terumi Matthews
1190267,Kate Bayley
95101,Charlie Day
229031,Peyton List
970216,Austin Stowell
568409,Damian Woetzel
35689,Keenen Ivory Wayans
58100,Ron Haddrick
239170,Sonam Lhamo
113745,Sarah Farooqui
19292,Adam Sandler
69482,Victoria Davis
228372,Conrad Kemp
12217,Jay Mohr
66741,Taylor Handley
5141,Heather Langenkamp
1271300,Noah Johnston
12097,Christopher Knights
5473,Julian Wadham
216674,Hillary Clinton
13333,Vanessa Redgrave
5249,E.G. Marshall
57669,Natalie Imbruglia
1146393,Ami Ayalon
64712,Tom McCamus
589,Daryl Hannah
19183,Cliff Gorman
73357,Eleanor Tomlinson
33449,Essie Davis
47775,Marc Anthony
137325,Vera Filatova
1278500,Courtney Eaton
4784,Laura Dern
2203,Neal McDonough
1064534,Helen FitzGerald
155752,Denyce Lawton
1417798,Amber Marie Bollinger
36592,Saoirse Ronan
1064601,Miesha Tate
109761,Burke Byrnes
59373,Mélanie Thierry
139161,Nora von Waldstätten
12748,Michel Simon
29711,Krista Errickson
1715121,Hunter McCracken
57690,Jim Breuer
27102,Wanda Sykes
9146,Lisa Barbuscia
455033,Matt Shively
65132,Don Curry
51800,Teryl Rothery
587,Edward James Olmos
52940,Andy Milonakis
1834,Shirley Henderson
88699,Steven R. McQueen
