movie_id,kw_id
2486,1523
2486,2249
2486,9986
2486,11223
16523,1523
16523,2249
16523,9986
16523,11223
116711,1523
116711,2249
116711,9986
116711,11223
37710,1523
37710,2249
37710,9986
37710,11223
9946,1523
9946,2249
9946,9986
9946,11223
1372,1523
1372,2249
1372,9986
1372,11223
106646,1523
106646,2249
106646,9986
106646,11223
414,1523
414,2249
414,9986
414,11223
563,1523
563,2249
563,9986
563,11223
83542,1523
83542,2249
83542,9986
83542,11223
41216,1523
41216,2249
41216,9986
41216,11223
314,1523
314,2249
314,9986
314,11223
184315,1523
184315,2249
184315,9986
184315,11223
9016,1523
9016,2249
9016,9986
9016,11223
18162,1523
18162,2249
18162,9986
18162,11223
138103,1523
138103,2249
138103,9986
138103,11223
257088,1523
257088,2249
257088,9986
257088,11223
10214,1523
10214,2249
10214,9986
10214,11223
205775,1523
205775,2249
205775,9986
205775,11223
11692,1523
11692,2249
11692,9986
11692,11223
22972,1523
22972,2249
22972,9986
22972,11223
227973,1523
227973,2249
227973,9986
227973,11223
29193,1523
29193,2249
29193,9986
29193,11223
1734,1523
1734,2249
1734,9986
1734,11223
3131,1523
3131,2249
3131,9986
3131,11223
9408,1523
9408,2249
9408,9986
9408,11223
9890,1523
9890,2249
9890,9986
9890,11223
855,1523
855,2249
855,9986
855,11223
77953,1523
77953,2249
77953,9986
77953,11223
18,1523
18,2249
18,9986
18,11223
37786,1523
37786,2249
37786,9986
37786,11223
10501,1523
10501,2249
10501,9986
10501,11223
57800,1523
57800,2249
57800,9986
57800,11223
150689,1523
150689,2249
150689,9986
150689,11223
7980,1523
7980,2249
7980,9986
7980,11223
12,1523
12,2249
12,9986
12,11223
122,1523
122,2249
122,9986
122,11223
121,1523
121,2249
121,9986
121,11223
68737,1523
68737,2249
68737,9986
68737,11223
1995,1523
1995,2249
1995,9986
1995,11223
157353,1523
157353,2249
157353,9986
157353,11223
331,1523
331,2249
331,9986
331,11223
61791,1523
61791,2249
61791,9986
61791,11223
8204,1523
8204,2249
8204,9986
8204,11223
47964,1523
47964,2249
47964,9986
47964,11223
10733,1523
10733,2249
10733,9986
10733,11223
9806,1523
9806,2249
9806,9986
9806,11223
1408,1523
1408,2249
1408,9986
1408,11223
32657,1523
32657,2249
32657,9986
32657,11223
607,1523
607,2249
607,9986
607,11223
863,1523
863,2249
863,9986
863,11223
44048,1523
44048,2249
44048,9986
44048,11223
5175,1523
5175,2249
5175,9986
5175,11223
2655,1523
2655,2249
2655,9986
2655,11223
22794,1523
22794,2249
22794,9986
22794,11223
8355,1523
8355,2249
8355,9986
8355,11223
116745,1523
116745,2249
116745,9986
116745,11223
4327,1523
4327,2249
4327,9986
4327,11223
1422,1523
1422,2249
1422,9986
1422,11223
10674,1523
10674,2249
10674,9986
10674,11223
7446,1523
7446,2249
7446,9986
7446,11223
65754,1523
65754,2249
65754,9986
65754,11223
1572,1523
1572,2249
1572,9986
1572,11223
10528,1523
10528,2249
10528,9986
10528,11223
271969,1523
271969,2249
271969,9986
271969,11223
