director_id,director
88832,Kyle Rankin
89216,Robert D. Webb
20646,Gabriele Muccino
87742,Marc Webb
36805,Audrey Wells
7017,Roger Michell
69593,Michael J. Bassett
112630,Dean Wright
77147,John Erick Dowdle
52044,David Winning
106491,Mark Griffiths
18863,Eric Darnell
64163,Kimble Rendall
58294,George Armitage
1171387,Thomas L. Phillips
939123,Kat Coiro
12824,Don Hahn
31,Tom Hanks
58628,Sara Sugarman
114614,David Nixon
126125,Bill Plympton
35155,John Gray
53267,Craig Brewer
72467,Thaddeus O'Sullivan
29962,King Vidor
7775,Stephen Sommers
25950,Jean-Paul Rappeneau
11090,Edgar Wright
5367,Zach Braff
134639,Jim Goddard
5691,Samuel Armstrong
61290,Matthew O'Callaghan
21031,Alejandro Agresti
172,Michael Winterbottom
432629,Shintaro Shimosawa
99339,Ken Shapiro
589159,Matt Piedmont
105239,Stuart Hazeldine
43141,Pete Travis
1571422,Warren Sheppard
9340,Lana Wachowski
18635,Ted Post
14674,George Cukor
69987,Jérôme Salle
49903,Tim Hill
32532,Brad Lewis
48965,Anthony Hickox
938649,Amanda Gusack
212,David Cross
23677,Joe Pytka
76230,Diane English
19450,Bob Rafelson
74878,Tay Garnett
1099862,Dean Israelite
2178,Forest Whitaker
4760,Deepa Mehta
5345,Bennett Miller
1979,Kevin Spacey
73588,Marc Schölermann
9789,Robert Altman
21136,Michael Cristofer
1223175,Elizabeth Allen Rosenbaum
69498,Mike Bigelow
45627,Nelson McCormick
66800,Morgan J. Freeman
4610,John Landis
16848,Rob Zombie
11427,William Roberts
64030,Kelly Makin
173607,Bruce Paltrow
56998,Dwight H. Little
5281,Spike Lee
550857,Tim Chambers
22012,David Worth
74626,Dan Reed
59291,Alexandre Aja
150,RZA
109978,Ian Fitzgibbon
1263945,Damir Catic
52935,John Francis Daley
15672,Nadia Tass
640,Chris Kentis
105313,James Mottern
80215,Charles Stone III
74436,Olly Blackburn
86195,Peter Merwin
58518,Blair Hayes
20218,Eric Bress
57082,John Stockwell
57885,Michael Wadleigh
57328,Barry W. Blaustein
37362,Henry King
1194681,Michael Skolnik
3092,Diane Keaton
59958,Jamie Blanks
72344,Asger Leth
35318,Ken Annakin
1044256,Lisanne Pajot
78562,Phil Traill
39104,Abel Ferrara
2406,Mathieu Kassovitz
72034,Jacob Aaron Estes
17447,Terry Zwigoff
58316,John Fortenberry
1275019,Tom Walsh
68843,Jon Hurwitz
18204,Peter Kassovitz
15045,Michael Lembeck
592493,David Lowery
1288700,Collin Schiffli
50582,Frederik Du Chau
2689,Jeff Nathanson
1736589,Danny Provenzano
83198,Allan Arkush
40223,Joe Carnahan
557883,David Evans 
58712,Steve Miner
67896,Doug McHenry
66777,Bob Fosse
132239,Babak Najafi
227438,Stephen Anderson
1501366,Simeon Rice
6495,Mira Nair
88970,Ralph Ziman
1269,Kevin Costner
10930,Irvin Kershner
1724,Roger Spottiswoode
1149038,Duane Journey
3632,Richard Brooks
66823,Joseph Kahn
21792,George Gallo
65531,Eric Goldberg
2171,Griffin Dunne
18184,Xavier Gens
11649,Cameron Crowe
508,David Koepp
75687,Christian Robinson
7397,Ed Decter
59635,Jerry Zaks
1375201,Ken Scott
13614,Deborah Kaplan
6400,Tom DiCillo
16730,Darrell James Roodt
84461,Alice Wu
51894,Juan Antonio Bayona
1098107,Wayne Thornley
55189,Bruce McDonald
98094,Brett Piper
1155992,Zoran Lisinac
2880,Emilio Estevez
59410,Bob Odenkirk
6349,Alan J. Pakula
1921,George Nolfi
31033,Oxide Pang Chun
53332,Frank Passingham
70777,Kevin Rodney Sullivan
437833,Patricia Riggen
86482,Mark Tonderai
1103,Bill Duke
8685,Andrew Niccol
7314,Nick Park
20305,Christopher Roberts
1027737,Robin Budd
20412,Michael Anderson
3110,Allison Anders
8300,Kevin Reynolds
141450,Mel Smith
36797,Robert Luketic
73832,Jessy Terrero
232216,Carmen Marron
1461,George Clooney
75699,Lisa Cholodenko
89981,László Benedek
64901,Gordon Chan
80923,Måns Mårlind
84021,Paul Gross
11429,Hamilton Luske
62768,William Brent Bell
16847,Eli Roth
135601,Troy Nixey
1704,Gore Verbinski
114004,Noah Buschel
58728,Andrei Konchalovsky
