actor_id,actor
1690514,Josh Diogo
93643,Patricia Hamilton
20212,Dermot Mulroney
155692,Chip Chinery
173264,Wanda Acuna
1503080,Robert J. Fraser
1661600,Gregory Mitchell
224724,Will Seatle Bowes
953445,Lara Mulcahy
38358,Donald Houston
14884,Michael Constantine
939703,Mojo Nixon
29215,Jamal Sims
1281301,Anna Madigan
1476030,Ron Walters
1859010,Rory Byrne
1611657,Giselle Chia
1849260,Michael Alan Kahn
86384,Logan Bartholomew
54565,Raymond St. Jacques
1371455,Sylvano Clarke
57575,Natalie Mendoza
1423453,Rolando Alvarez Giacoman
1687265,Allegra Leguizamo
1205901,Gustavo I. Ortiz
93434,Lionel Vitrant
1269695,Mike Shiflett
1782498,Rachel Rodewald
1185781,Isaac Cocking
13026,Nina Foch
1503723,Joshua Geter
1369182,Goro Daimon
111116,Matthew Rauch
52057,Obba Babatundé
1282775,Joey Jefferson
125483,Tilly Losch
1287017,Gareb Shamus
1072105,Narges Rashidi
92282,Nathan Anderson
938149,King Cotton
29313,Dean Jagger
387,Kim Greist
1461233,Jen Kwok
1689038,Tom Gill
215055,Steven Yeun
1330747,Tom Rack
90440,Ross Noble
1265864,Brian Irvin
1272974,Myles Humphus
1448566,Tabitha Brownstone
181248,Marie-Julie Rivest
1663809,Isaiah Michalski
1427426,Judy Gichohi
172843,L. Harvey Gold
105623,Melissa Prophet
1753711,Brooke Upton
20290,Garrett Lombard
1394109,Johnny Timko
1054308,Robert Busch
190611,Clay Savage
63110,Jay Jablonski
1810313,Jodi Dawson
1083495,Jackie Nova
25386,Ian Tracey
20363,Suzanne Snyder
213214,Hugo Becker
1225378,Louis Di Bianco
14699,Pamela Reed
1381494,Corey James Wright
1220118,Matilda Sturridge
5536,Mark Wells
140525,John O'Toole
206505,Garrett Ryan
543357,Cepheus Jaxon 
11783,John Houseman
1386143,Sean Buchanan
33527,Adam Beach
1106411,Lindsay Burdge
5940,Matthew Ferguson
18339,Veronica Lazar
10377,Linda Olgeirson
118592,Lauren Glazier
1209246,Janaya Pender
88298,Song Young-chang
1337466,Tony Kenny
1526106,Katie Lumpkin
44246,Kenner Ames
1467893,Ryan Powers
52052,Jessica Simpson
943463,Philip Lenkowsky
1217501,Jeff Maxwell
1238682,Carol Locatell
65529,Irene Bedard
18021,Jane Lapotaire
1392033,Jacqui Getty
1498757,Artie Ahr
63240,Dave Holmes
180084,Evan Farmer
30368,Jon Kasdan
34478,Tony Anselmo
1271681,Sunny Sandler
20377,Matthew Knight
1404539,Pavel Cajzl
1674261,Jamar Greene
1717271,Stephanie Marrero
1752155,Karim Fawzy
1569967,French Montana
590269,Warona Seane
1220084,Susannah Doyle
1773121,Sandra-Jessica Couturier
1274295,Cie Allman
78094,Karl-Otto Alberty
126656,John Holland
1347341,Alexander Fabian
1124221,Ashli Bare
139856,Hocine Mérabet
197872,Joshua Fardon
1798578,Connie Valenzuela
1314900,Dawn Matthews
1409504,Derek Solorsano
52892,Hugh Sachs
26054,Claudia Black
1615837,Ding Kai
1616046,Lyralen Kaye
95197,Robert Schimmel
27975,Mary Faktor
104785,Kevin Daniels
58949,John Churchill
1782490,Christopher Pastenes
58646,Damian Chapa
100463,Cliff Bemis
1323887,Janine Andrews
17775,Nicole Bilderback
1665127,Arno Kral
43599,Heidi Johanningmeier
47772,Jorge Porcel
1381493,Matt Mangum
104632,Sylvia Hoeks
26974,Jessy Schram
99366,Manning Redwood
87443,Lynch R. Travis
1586573,Coco Sumner
262394,George Fawcett
2715,Bess Motta
1176955,J.C. Kenny
1323530,Grant Alan Ouzts
214063,Len Carlson
188274,Leo Lee
1502313,Tyler Bilyeu
1273210,Robert A. Villanueva
15347,Michael Giacchino
78815,Antonio Rodrigo Nogueira
66225,Evan C. Kim
236705,Karen Reigh
1557797,Tina Rath
41820,Michelle Forbes
1616292,Lynda Knight
212824,Stacy Keibler
130843,Rosemary Howard
1381673,Courtney Patterson
59065,Karen Strassman
588319,Stephen Tyrone Williams
1730068,Mike O'Neal
186648,Bryan Clark
1086373,Erron Jay
60954,Bill Romanowski
157029,Derek Webster
1011104,Zuleyka Silver
1742644,Matt Dempsey
61369,Martin Herdman
17653,Mario Gallo
245,Keir Dullea
1048023,Sally Curtice
1200247,Masanobu Ôkubo
142206,Dylan Bruce
1485107,Aaron Covington
56675,Anson Mount
52705,Zak Santiago
1220923,Dimitra Arliss
1696241,Ahman Green
10734,Kenneth Colley
1445532,Richard Lukens
1392710,Lionel Mahop
992097,Hugo Guinness
1319273,David Carpenter
1520454,Augie Isaac
42290,Shay Duffin
1385664,Jasmine Di Angelo
1288833,Kenneth Kynt Bryan
1406570,Kimberly Cox
8985,Margaret Colin
1235227,Scott Trimble
168320,Louis Giambalvo
1485328,Leslie Castay
26456,Lori Singer
76134,Rick Danko
184121,Dennis Garber
993093,Valarie Trapp
1542405,Moet Meira
238070,Boris Ler
1265836,Tanner Alexander Redman
21278,Alan Alda
1275400,Jamar Shipman
1282173,Dan Eggleston
1116511,Aoi Minato
19301,Yevgeni Lazarev
151432,Boris McGiver
1074683,Thom Baker
22690,Kyra Mladeck
39113,Christine Elise
169920,Leon Russom
132204,Steinn Ármann Magnússon
16743,Arnold Vosloo
17651,Nicholas Colasanto
1775917,Sherman Roberts
1452428,John D. Schwartz
70782,Richard Marcus
1455750,Beth Crudele
971299,Griffin Gluck
1337803,Molly Hawkey
59048,Toney Tutini
28634,Steve Sandvoss
58945,Chantille Boudousque
1390109,Michael Martin
1259732,Brandon Salgado Telis
1399746,Natasha Jonas
1232500,Jayne Houdyshell
1091371,Michael S. Walter
928579,Andy Arness
154263,Ted Rooney
82410,Terry O'Neill
221945,Da'Vone McDonald
381,Katherine Helmond
1819436,Judy Kiern
1218818,James Harvey Ward
369078,Stewart Morritt
97719,Leo Geter
15212,Art Metrano
1265313,Juris Laucinsh
1084970,Greg Speirs
1190576,Ruddy Rodriguez
62113,Franck Xie Cheng
2542,Kazuki Kitamura
27885,Marc van Warmerdam
10598,Victor Spinetti
55093,Scott Baio
23920,Chad McQueen
97751,Denise Cheshire
552181,Shigemi Sunagawa
11766,Timothy Patrick Quill
1349337,Mohamad Nadir Sarwari
140567,Donny Osmond
142906,Preben Lerdorff Rye
1280482,Veronica Beattie
1446871,Jordan Masterson
44208,Nigel Bennett
89402,Bas Rutten
60232,David Cowgill
10481,Emily Bolton
191435,Nancy La Scala
7505,Roddy McDowall
5612,Ed Grennan
1775932,Misty Rascon
1436334,Gary Brennan
15344,J.J. Abrams
2076,David Warner
553215,Jean-Pol Brissart
1059106,Crystal Shepherd-Cross
1302098,Cass-Olé
1756348,Rory Copus
1714594,Ursula Kuhnt
1111813,Keri Moran
53760,Kevin Thompson
1542730,Serenity Neil
1503043,Salvatore Po
18476,Thomas B. Duffy
1707776,Edward Kowalczyk
1415421,Gary Hood
1502323,Vito Grassi
47779,Pasquale Aleardi
60372,Annie Whittle
10939,Bernie Casey
1206028,Angele Galea
1562102,Julian Moore Crook
559766,John McLaughlin
17755,Beulah Bondi
151943,Gerard Murphy
1677316,Jade Go
90676,Isabelle Blais
55623,Michael Dean Jacobs
84270,Tara Wilson
64201,Renée Jones
1366361,Chris Ratz
59573,Cory Stewart
984724,Aiden Lovekamp
113710,Chief John Big Tree
62551,Heidi Swedberg
1172814,Lucky Johnson
57353,David Graf
64103,Emily Booth
1563431,Michael Shaeffer
1441913,Mai Holm Laureng
1207596,You Er
5511,Nadja Uhl
4119,John Qualen
21166,James Haven
198025,Pat Zurica
1134868,Chesley Noone
77013,Deirdre O'Connell
9898,Lotte Lenya
4539,Hubert Mulzer
1781221,Linda Lee
43716,Anneke Blok
86151,Vladimir Mashkov
1854665,Fritz Mashimo
168540,Tyler McClendon
1281326,Larry Eugene Sanders II
18851,Dimitris Kaberidis
95866,Billie Joe Armstrong
1760900,Jaiden Stafford
125581,Tiffany Lyndall-Knight
1338525,Kitty Swan
1178738,Hamid Djavadan
69423,Maureen Keiller
28511,Luis Zahera
130346,Eugene Iglesias
1008729,Melissa Lawner
1357037,Alice Kremelberg
1782469,Duke Czlonka
54505,Telisha Shaw
1070749,Darwin Shaw
83244,Ella Rae Peck
174982,Neil Pearson
112543,Grace Thorsen
106612,Michael Bryant
1423667,Tara Ann Culp
34257,Anthony Stewart Head
70304,Sarah Jane Morris
30861,Leslie Jordan
4795,Florian Lukas
1261327,Marek Majeský
87070,Michael Chernus
127431,Singh Hartihan Bitto
64017,Martin Rapold
1780351,Bradley J. Goode
15852,Ashley Judd
1469374,Jay Harper
1673215,Briston Meeney
1249,Penelope Wilton
62520,Sisqó
1462537,Shriman Umeshanad Brahmachari
657,Mariane Plasteig
87328,Akshaye Khanna
27268,Samantha Shelton
217828,Melita Jurišić
968746,Greg Nutcher
1886586,George S. Spataro
69233,Robert Trujillo
1265810,Cassity Atkins
1511384,Heidi Herschbach
1853187,Gary Sivertsen
1387965,John A. Schneider
1798539,Lettie Ibarra
6092,Julia Krynke
1075052,Elizabeth Connolly
227474,Brandy Futch
79027,Jake Roberts
14731,Henry Silva
1506244,Michael Mercaldi
1828910,"Dennis ""Bumpy"" Kanahele"
146414,Ron Causey 
1381720,Jennifer Stearns
1786725,Zele Avradopoulos
1220097,John Nettleton
1602044,Hayley Feinstein
129713,Mia Stallard
33807,George Eastman
1736420,Justin Chrzanowski
1225724,Carole Ashby
1257828,Nev Schulman
153442,Michael Walker
106370,Jeff Bowser
589131,John Bolen
60739,Kath Soucie
215162,Steve Forbes
118598,Yan Dron
1992,Natasha Dorfhuber
63359,Cathy Belton
1332240,Alexis Rose Coen
4729,Tom Guiry
113245,Adam Ferrara
78017,Sandra Nelson
77866,Alycia Purrott
1225764,Mat Hoffman
1244752,Tabitha Soren
99904,Robert Oppel
84952,Olesya Rulin
64236,David Wells
934059,Aislín McGuckin
67130,Dave Dudfield
1387384,Finlay Wright-Stephens
80362,Jorge Rodriguez
2441,Tom Hollander
980378,Lincoln Tate
1140572,L.C. Holt
94893,Victor Millan
1002919,Trish Summerville
67937,Paul Greco
225625,Lance Frank
2455,Christopher Wynne
1775927,Kehynde Hill
140250,Tom Everett
1041467,Ren Mori
1090378,Chloe Dykstra
70633,Amanda Redman
1394379,Matthew Steer
1053296,Rick Cordeiro
556129,Ari Brickman
110927,Penn Badgley
116714,Juan Carlos Hernández
1672679,John McCarthy
94836,Lance Percival
86994,Kaki Hunter
28951,Mehmet Yilmaz
62891,David Finti
89251,Melinda Clarke
1694864,Davy J. Marr
