movie_id,actor_id
2062,6197.0
2062,21198.0
272,3894.0
272,3895.0
272,3896.0
272,3897.0
272,64.0
10527,7399.0
10527,9575.0
10527,14409.0
10527,2632.0
10527,5726.0
18360,7399.0
18360,9273.0
18360,887.0
18360,5587.0
18360,2157.0
2080,6968.0
2080,23626.0
2080,6413.0
2080,21044.0
2080,10859.0
605,6384.0
605,2975.0
605,530.0
605,1331.0
605,9572.0
109445,40462.0
109445,19394.0
109445,221611.0
109445,54415.0
109445,1188241.0
604,6384.0
604,530.0
604,2975.0
604,1331.0
604,9443.0
76338,74568.0
76338,524.0
76338,91606.0
76338,4173.0
76338,2040.0
76341,2524.0
76341,6885.0
76341,3292.0
76341,26060.0
76341,1056053.0
13448,31.0
13448,3061.0
13448,8786.0
13448,1640.0
13448,17839.0
10195,74568.0
10195,524.0
10195,91606.0
10195,4173.0
10195,1640.0
13053,8891.0
13053,76594.0
13053,56910.0
13053,61423.0
13053,56890.0
19585,6807.0
19585,955.0
19585,56903.0
19585,15277.0
19585,884.0
57165,65731.0
57165,3896.0
57165,5469.0
57165,25616.0
57165,20286.0
62213,85.0
62213,1160.0
62213,1283.0
62213,17183.0
62213,9012.0
177677,500.0
177677,933238.0
177677,11108.0
177677,17604.0
177677,10182.0
7978,1121.0
7978,4173.0
7978,5081.0
7978,1331.0
7978,119684.0
5559,16377.0
5559,9137.0
5559,12077.0
5559,4756.0
5559,9657.0
49444,70851.0
49444,11701.0
49444,4483.0
49444,64.0
49444,18897.0
10196,88816.0
10196,61186.0
10196,84215.0
10196,76788.0
10196,17857.0
956,500.0
956,1233.0
956,10182.0
956,8289.0
956,1244.0
117251,38673.0
117251,134.0
117251,125025.0
117251,1579.0
117251,28633.0
50321,13922.0
50321,3234.0
50321,58873.0
50321,33654.0
50321,78197.0
11619,6968.0
11619,204.0
11619,1327.0
11619,1003.0
11619,2440.0
266647,1313583.0
266647,9828.0
266647,6968.0
266647,108916.0
266647,71070.0
82703,15232.0
82703,558928.0
82703,42160.0
82703,19.0
82703,475512.0
652,287.0
652,114.0
652,8783.0
652,1248.0
652,48.0
80321,7399.0
80321,6730.0
80321,14409.0
80321,3910.0
80321,2632.0
36669,517.0
36669,4587.0
36669,10882.0
36669,10883.0
36669,10881.0
43074,55536.0
43074,41091.0
43074,1240487.0
43074,168452.0
43074,74568.0
95,62.0
95,879.0
95,880.0
95,882.0
95,883.0
608,2176.0
608,2888.0
608,9626.0
608,6684.0
608,9656.0
2310,5538.0
2310,11701.0
2310,4173.0
2310,32.0
2310,6949.0
140300,70851.0
140300,17419.0
140300,4483.0
140300,11701.0
140300,18999.0
56292,500.0
56292,17604.0
56292,11108.0
56292,52851.0
56292,72118.0
81188,62064.0
81188,7447.0
81188,9642.0
81188,52848.0
81188,6968.0
7552,206.0
7552,4939.0
7552,7447.0
7552,28633.0
7552,52929.0
616,500.0
616,3899.0
616,7676.0
616,9186.0
616,9188.0
147441,3894.0
147441,33192.0
147441,1241.0
147441,84497.0
147441,77335.0
13475,62064.0
13475,17306.0
13475,1749.0
